"FisheriesGuild","StockKeyLabel","StockKeyDescription"
"pelagic","cap.27.2a514","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5Â°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
"demersal","cod.27.1-2","Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic)"
"demersal","cod.27.1-2coast","Cod (Gadus morhua) in subareas 1 and 2 (Norwegian coastal waters cod)"
"elasmobranch","dgs.27.nea","Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"
"demersal","ghl.27.1-2","Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic)"
"demersal","had.27.1-2","Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)"
"pelagic","her.27.1-24a514a","Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)"
"pelagic","hom.27.2a4a5b6a7a-ce-k8","Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a-c,e-k (the Northeast Atlantic)"
"pelagic","mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)"
"demersal","pok.27.1-2","Saithe (Pollachius virens) in subareas 1 and 2 (Northeast Arctic)"
"pelagic","reb.27.1-2","Beaked redfish  (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic)"
"demersal","reg.27.1-2","Golden redfish (Sebastes norvegicus) in subareas 1 and 2 (Northeast Arctic)"
"pelagic","whb.27.1-91214","Blue whiting (Micromesistius poutassou) in subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)"
